epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2886.52,0.86529,0.7205,1.19591,0.7983,0.75764,0.82007,0.55538,1.28966,0.8928,1.48717,0.005842,0.005842,0.005842
44,2980.69,0.86234,0.72943,1.20045,0.8318,0.74695,0.82114,0.55222,1.28852,0.88653,1.49482,0.005743,0.005743,0.005743
45,3046.9,0.85796,0.71319,1.18997,0.83132,0.73288,0.82467,0.55089,1.29033,0.88868,1.49539,0.005644,0.005644,0.005644
46,3114.39,0.84997,0.70777,1.18917,0.82215,0.76945,0.82787,0.55078,1.30327,0.88245,1.5107,0.005545,0.005545,0.005545
47,3180.66,0.8459,0.70653,1.18184,0.8008,0.76051,0.81992,0.55022,1.3056,0.88633,1.50958,0.005446,0.005446,0.005446
48,3247.72,0.85153,0.70453,1.18704,0.82112,0.74935,0.82262,0.55355,1.28271,0.87472,1.4938,0.005347,0.005347,0.005347
49,3314.01,0.8443,0.69949,1.18703,0.80927,0.76942,0.82849,0.55978,1.28333,0.87365,1.48697,0.005248,0.005248,0.005248
50,3380.16,0.83605,0.69224,1.18005,0.83333,0.76872,0.83168,0.55947,1.29269,0.86416,1.49652,0.005149,0.005149,0.005149
51,3447.28,0.84244,0.68987,1.18104,0.82019,0.76877,0.83149,0.5589,1.28949,0.87004,1.48938,0.00505,0.00505,0.00505
52,3516.33,0.83074,0.68287,1.17694,0.81185,0.77491,0.8306,0.55911,1.2928,0.86012,1.49835,0.004951,0.004951,0.004951
53,3583.03,0.83182,0.68442,1.17257,0.83925,0.76451,0.83664,0.56825,1.27839,0.85223,1.47683,0.004852,0.004852,0.004852
54,3650.32,0.83458,0.68377,1.17544,0.82607,0.77146,0.83302,0.56777,1.27857,0.85478,1.4724,0.004753,0.004753,0.004753
55,3717.42,0.83234,0.6711,1.17141,0.82838,0.7734,0.83338,0.56735,1.27088,0.85726,1.4736,0.004654,0.004654,0.004654
56,3784.48,0.81632,0.66437,1.16775,0.84084,0.768,0.83644,0.57157,1.26166,0.84346,1.46801,0.004555,0.004555,0.004555
57,3851.12,0.81601,0.6637,1.16381,0.82749,0.77905,0.8362,0.57142,1.2617,0.84309,1.46538,0.004456,0.004456,0.004456
58,3917.11,0.81535,0.65767,1.1647,0.81233,0.78391,0.83561,0.57111,1.26165,0.85265,1.46172,0.004357,0.004357,0.004357
59,3982.94,0.81093,0.6578,1.16203,0.82688,0.77242,0.83165,0.57279,1.25679,0.84139,1.4581,0.004258,0.004258,0.004258
60,4049.56,0.8156,0.65343,1.15984,0.82677,0.78188,0.83614,0.57424,1.25766,0.84341,1.45825,0.004159,0.004159,0.004159
61,4116.39,0.80146,0.64553,1.15535,0.8386,0.77864,0.84065,0.57684,1.25918,0.83915,1.46106,0.00406,0.00406,0.00406
62,4183.84,0.81192,0.64468,1.15599,0.84787,0.7783,0.84159,0.58227,1.2611,0.83972,1.46302,0.003961,0.003961,0.003961
63,4250.82,0.79751,0.63756,1.1501,0.8505,0.77525,0.83908,0.58054,1.26065,0.84091,1.46044,0.003862,0.003862,0.003862
64,4317.38,0.79809,0.63695,1.15374,0.84184,0.77419,0.84043,0.57943,1.26518,0.83827,1.46475,0.003763,0.003763,0.003763
65,4384.03,0.79749,0.6334,1.1505,0.84576,0.77256,0.84277,0.58116,1.26794,0.84006,1.46764,0.003664,0.003664,0.003664
66,4450.84,0.79747,0.63104,1.15216,0.84776,0.7709,0.84285,0.58303,1.26611,0.83297,1.46574,0.003565,0.003565,0.003565
67,4517.9,0.78176,0.62256,1.14237,0.84979,0.77705,0.8463,0.58337,1.26845,0.83105,1.4685,0.003466,0.003466,0.003466
68,4584.97,0.78937,0.62506,1.14561,0.85244,0.77283,0.84493,0.58257,1.26911,0.83195,1.473,0.003367,0.003367,0.003367
69,4651.71,0.77669,0.61664,1.13856,0.85213,0.77093,0.8439,0.5809,1.26845,0.83135,1.47246,0.003268,0.003268,0.003268
70,4718.73,0.7814,0.62077,1.14498,0.85438,0.773,0.8434,0.58187,1.26575,0.83523,1.46843,0.003169,0.003169,0.003169
71,4785.64,0.78224,0.61616,1.14052,0.85373,0.77139,0.84215,0.58036,1.26551,0.83726,1.46974,0.00307,0.00307,0.00307
72,4853.19,0.77127,0.60322,1.13401,0.85186,0.77494,0.84141,0.58287,1.26393,0.83971,1.47118,0.002971,0.002971,0.002971
73,4920.18,0.76427,0.59746,1.13089,0.85398,0.77525,0.8396,0.5823,1.26207,0.84083,1.47088,0.002872,0.002872,0.002872
74,4986.68,0.76244,0.59548,1.13109,0.85248,0.77629,0.84101,0.58294,1.26129,0.84026,1.47002,0.002773,0.002773,0.002773
75,5053.34,0.76325,0.59103,1.12752,0.85677,0.77799,0.8405,0.58591,1.25937,0.8382,1.46806,0.002674,0.002674,0.002674
76,5120.35,0.76368,0.58981,1.12564,0.859,0.77613,0.84099,0.58423,1.25988,0.83855,1.46919,0.002575,0.002575,0.002575
